Year,Population,Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Total Fertility Rate
1983,,1055802,252592,803210,21.3,5.1,16.2,3.02
1984,,956680,225282,731398,19.0,4.5,14.5,2.7
1985,,973624,225088,748536,18.8,4.4,14.4,2.57
1986,,945827,218025,727802,18.0,4.1,13.9,2.45
1987,,884043,232968,651075,16.5,4.3,12.2,2.35
1988,,873842,231227,642615,16.0,4.2,11.8,2.26
1989,,905837,246570,659267,16.3,4.4,11.9,2.18
1990,,956237,252512,703725,17.0,4.5,12.5,2.11
1991,,960556,264350,696206,17.0,4.7,12.3,2.06
1992,57788965.0,964557,275313,689244,16.8,4.8,12.0,1.98
1993,58336072.0,957832,285731,672101,16.5,4.9,11.6,1.89
1994,59095419.0,960248,305526,654722,16.3,5.2,11.1,1.84
1995,59460382.0,963678,324842,638836,16.2,5.5,10.7,1.81
1996,60116182.0,994118,342645,651473,15.8,5.7,10.1,1.85
1997,60816227.0,897604,303918,593686,14.8,5.0,9.8,1.69
1998,61466178.0,897201,310534,586667,14.7,5.1,9.6,1.69
1999,61661701.0,754685,362607,392078,12.3,5.9,6.4,1.51
2000,61878746.0,773009,365741,407268,12.5,5.9,6.6,1.53
2001,62308887.0,790425,369493,420932,12.7,6.0,6.7,1.54
2002,62799872.0,782911,380364,402547,12.5,6.1,6.4,1.53
2003,63079765.0,742183,384131,358052,11.8,6.1,5.7,1.47
2004,61973621.0,813069,393592,419477,13.0,6.3,6.7,1.55
2005,62418054.0,809485,395374,414111,13.0,6.4,6.6,1.55
2006,62828706.0,793623,391126,402497,12.7,6.2,6.5,1.53
2007,63038247.0,797588,393255,404333,12.7,6.3,6.4,1.54
2008,63389730.0,784256,397326,386930,12.4,6.3,6.1,1.51
2009,63525062.0,765047,393916,371131,12.1,6.2,5.9,1.47
2010,63878267.0,761689,411331,350358,12.0,6.5,5.5,1.49
2011,64076033.0,795031,414670,380361,12.4,6.5,5.7,1.55
2012,64456695.0,801737,415141,386596,12.2,6.5,5.7,1.56
2013,64456695.0,748081,426065,322016,11.6,6.6,5.0,1.46
2014,65124716.0,711081,435624,275457,10.9,6.7,4.2,1.41
2015,65729098.0,736352,456391,279961,11.2,6.9,4.3,1.45
2016,65931550.0,704058,480434,223624,10.7,7.3,3.4,1.39
2017,66188503.0,702755,468911,233844,10.6,7.1,3.5,1.38
2018,66413979.0,666109,473541,192568,10.0,7.1,2.9,1.36
2019,66558935.0,618193,506211,111982,9.3,7.6,1.7,1.25
2020,66186727.0,587368,501438,85930,8.9,7.6,1.3,1.18
2021,66171439.0,544570,563650,-19080,8.2,8.5,-0.3,1.09
